SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_PHONE,EXT_SOURCE_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_7,AMT_BALANCE,MONTHS_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_CURRENT,Forest_PROBA,Forest_PRED,Solvable,Non Solvable,TARGET
100006,135000.0,312682.5,29686.5,297000.0,-19005,-3039,0,0.6504416904014653,1,0,0.0,-3.5,1620000,0.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100011,112500.0,1019610.0,33826.5,913500.0,-20099,365243,0,0.20574728800732814,1,0,54482.111148648655,-38.5,12150000,180000.0,0.5726350800594572,0,0.5726350800594572,0.4273649199405428,0
100021,81000.0,270000.0,13500.0,270000.0,-9776,-191,0,0.6835133461914255,0,0,0.0,-10.0,11475000,0.0,0.6699105763831281,0,0.6699105763831281,0.3300894236168719,0
100023,90000.0,544491.0,17563.5,454500.0,-11348,-2038,1,0.5866171400119664,1,0,0.0,-7.5,1080000,0.0,0.6572022017444796,0,0.6572022017444796,0.34279779825552037,0
100036,112500.0,512064.0,25033.5,360000.0,-11144,-1104,0,0.6273004007953609,1,0,0.0,-7.5,945000,0.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100043,198000.0,641173.5,23157.0,553500.0,-17199,-768,1,0.6816988025574287,1,0,208572.60000000006,-17.0,9472500,491864.085,0.667870599627701,0,0.667870599627701,0.332129400372299,0
100047,202500.0,1193580.0,35028.0,855000.0,-17482,-1262,0,0.30684058604830505,1,0,0.0,-21.5,11745000,0.0,0.5813408476618409,0,0.5813408476618409,0.4186591523381591,1
100048,202500.0,604152.0,29196.0,540000.0,-16971,-475,1,0.03731523556121631,1,0,59810.556774193545,-16.0,6975000,496296.0,0.5342867473327246,0,0.5342867473327246,0.46571325266727537,0
100049,135000.0,288873.0,16258.5,238500.0,-13384,-3597,1,0.6742032101473874,1,0,48183.29653846154,-8.0,1305000,143637.66,0.667870599627701,0,0.667870599627701,0.332129400372299,1
100050,108000.0,746280.0,42970.5,675000.0,-23548,365243,0,0.7661378050275851,1,0,0.0,-4.0,1260000,0.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100059,540000.0,675000.0,34596.0,675000.0,-18632,-6977,1,0.7133545848531052,1,0,0.0,-6.5,450000,0.0,0.667870599627701,0,0.667870599627701,0.332129400372299,0
100075,112500.0,95940.0,10462.5,90000.0,-12240,-3720,0,0.6645439411246608,1,0,163587.054375,-5.5,1800000,599460.75,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100077,180000.0,1256400.0,40657.5,900000.0,-12049,-579,0,0.6473478219828046,1,0,0.0,-6.0,135000,0.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100082,180000.0,450000.0,21109.5,450000.0,-12009,-2844,1,0.6865047975453018,1,0,16901.607272727277,-45.5,10260000,301500.0,0.667870599627701,0,0.667870599627701,0.332129400372299,0
100083,103500.0,573628.5,24435.0,463500.0,-15406,-892,0,0.7071263161734994,1,0,0.0,-14.0,2250000,0.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100086,135000.0,675000.0,21775.5,675000.0,-14264,-2492,0,0.5698732368655826,1,0,42137.62714285714,-42.5,8640000,112500.0,0.6480393275060014,0,0.6480393275060014,0.35196067249399865,0
100100,202500.0,796396.5,38443.5,643500.0,-15909,-1094,0,0.4957651407174961,1,0,40102.36085106383,-47.5,7695000,485464.5,0.640314397962558,0,0.640314397962558,0.35968560203744204,0
100101,202500.0,343377.0,22072.5,283500.0,-18138,-969,0,0.7162122102538987,0,0,183857.18464285712,-7.5,5962500,1241760.96,0.6699105763831281,0,0.6699105763831281,0.3300894236168719,0
100110,135000.0,373140.0,25065.0,337500.0,-10744,-741,0,0.6405493008893001,1,0,0.0,-3.0,675000,0.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100112,315000.0,953460.0,64107.0,900000.0,-10199,-2015,0,0.4323402118056743,1,0,0.0,-12.0,2160000,0.0,0.6399263480456593,0,0.6399263480456593,0.3600736519543407,1
100114,135000.0,284400.0,22599.0,225000.0,-10734,-693,0,0.1549370735653434,1,0,0.0,-4.0,855000,0.0,0.555350185373788,0,0.555350185373788,0.444649814626212,0
100115,90000.0,315000.0,14683.5,315000.0,-15371,-367,1,0.3343001962973505,1,0,46570.5,-2.0,135000,45000.0,0.5917961881833921,0,0.5917961881833921,0.4082038118166079,0
100116,243000.0,900000.0,32017.5,900000.0,-14751,-6737,0,0.7002735745029195,1,0,178584.4595454546,-29.0,11475000,868808.25,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100131,270000.0,891072.0,45625.5,720000.0,-13830,-1169,0,0.7079724741176917,1,0,239297.51437500003,-12.5,15390000,1142818.605,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100135,135000.0,391194.0,26271.0,319500.0,-19829,-215,0,0.7206401576263843,1,0,0.0,-8.5,1116000,0.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100137,225000.0,891072.0,45625.5,720000.0,-20284,365243,0,0.08671938658524453,0,0,323646.41812499997,-5.5,2700000,337500.0,0.5514868045304858,0,0.5514868045304858,0.4485131954695142,0
100138,135000.0,824823.0,29223.0,688500.0,-14339,365243,0,0.6075618184170141,1,0,0.0,-5.0,720000,0.0,0.6632958797538369,0,0.6632958797538369,0.33670412024616314,0
100139,157500.0,302341.5,24016.5,261000.0,-13286,-2305,0,0.6014083651352106,1,0,192715.03560000003,-38.0,15187500,880511.5800000001,0.6632958797538369,0,0.6632958797538369,0.33670412024616314,0
100143,162000.0,270000.0,13500.0,270000.0,-22881,-3420,0,0.6781247611812603,0,0,71369.23263157894,-49.0,17100000,476550.0,0.6699105763831281,0,0.6699105763831281,0.3300894236168719,0
100144,112500.0,535500.0,30028.5,535500.0,-16759,-4560,0,0.6116366959675879,1,0,0.0,-21.5,7560000,0.0,0.6632958797538369,0,0.6632958797538369,0.33670412024616314,0
100145,202500.0,260725.5,16789.5,198000.0,-16282,-4375,0,0.7464864055627681,1,0,1614.4298437500001,-48.5,1755000,0.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100148,247500.0,755190.0,36459.0,675000.0,-16340,-8647,0,0.6605593694772599,1,0,19448.222426470587,-35.5,4590000,334058.08499999996,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100151,135000.0,182016.0,11772.0,144000.0,-16522,-1451,0,0.6952191372191353,1,0,227636.18653846154,-7.0,7020000,522450.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100152,157500.0,254412.0,9720.0,166500.0,-16083,-2764,0,0.1654420733377721,1,0,0.0,-11.0,6750000,0.0,0.555350185373788,0,0.555350185373788,0.444649814626212,0
100153,202500.0,1107981.0,32526.0,967500.0,-18413,-1895,0,0.6680204349150283,1,0,121103.89828767123,-37.0,11497500,488745.0,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100157,180000.0,1755000.0,61132.5,1755000.0,-16086,-1549,0,0.14768481724551802,0,0,0.0,-24.0,13117500,0.0,0.5608845387115708,0,0.5608845387115708,0.43911546128842915,0
100162,112500.0,547344.0,18216.0,472500.0,-21061,365243,0,0.5982432424547262,1,0,0.0,-8.0,675000,0.0,0.6632958797538369,0,0.6632958797538369,0.33670412024616314,0
100165,175500.0,1293502.5,35568.0,1129500.0,-21961,365243,1,0.6466885821859959,1,0,0.0,-21.5,1890000,0.0,0.667870599627701,0,0.667870599627701,0.332129400372299,0
100166,58500.0,152820.0,15241.5,135000.0,-14359,-1894,0,0.5248175794365513,1,0,0.0,-3.0,1125000,0.0,0.6441952078995457,0,0.6441952078995457,0.35580479210045435,0
100173,117000.0,781920.0,26725.5,675000.0,-11633,-2596,1,0.6363951652298555,1,0,38063.538097826095,-47.5,8280000,247500.0,0.667870599627701,0,0.667870599627701,0.332129400372299,0
100176,135000.0,1078200.0,31653.0,900000.0,-17682,-4319,1,0.5852908069048889,1,0,131640.94799999997,-49.0,16920000,297000.0,0.6572022017444796,0,0.6572022017444796,0.34279779825552037,0
100180,315000.0,1288350.0,37800.0,1125000.0,-15581,-4940,0,0.5098519541101603,1,0,0.0,-13.5,10350000,0.0,0.640314397962558,0,0.640314397962558,0.35968560203744204,0
100181,157500.0,245619.0,12667.5,166500.0,-17538,-7676,1,0.18217137418039608,1,0,0.0,-21.5,2970000,0.0,0.5702666331219324,0,0.5702666331219324,0.4297333668780676,1
100188,225000.0,1325475.0,56290.5,1125000.0,-15323,-5785,0,0.7024628947445616,1,0,236086.81650000002,-6.5,6750000,565714.665,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100190,162000.0,263686.5,24781.5,238500.0,-13972,-4472,1,0.5858586300023704,1,0,0.0,-19.5,12420000,0.0,0.6572022017444796,0,0.6572022017444796,0.34279779825552037,0
100193,225000.0,296280.0,15124.5,225000.0,-17879,-940,0,0.7488544429116339,0,0,1845.8624117647057,-43.0,945000,59845.5,0.6699105763831281,0,0.6699105763831281,0.3300894236168719,0
100197,157500.0,497520.0,28692.0,450000.0,-12019,-1148,0,0.4722858229404335,1,0,324255.0535714286,-11.0,8190000,640045.26,0.6380601340877434,0,0.6380601340877434,0.3619398659122566,0
100198,135000.0,531000.0,32616.0,531000.0,-13116,-1786,0,0.7489161279000881,1,0,26065.07202531645,-40.0,3744000,255853.125,0.6673584340900167,0,0.6673584340900167,0.3326415659099833,0
100206,157500.0,318528.0,25294.5,252000.0,-12027,-1720,1,0.16425890585653596,0,0,0.0,-7.5,2124000,0.0,0.5598182330076024,0,0.5598182330076024,0.44018176699239764,0
100211,225000.0,746280.0,49873.5,675000.0,-14033,-328,0,0.5750860506591902,1,0,78444.98156249999,-9.5,1642500,157247.09999999998,0.6509501844942674,0,0.6509501844942674,0.34904981550573255,0
