SK_ID_CURR,Target
100006,0.0
100011,0.0
100021,0.0
100023,0.0
100036,0.0
100043,0.0
100047,1.0
100048,0.0
100049,1.0
100050,0.0
100059,0.0
100075,0.0
100077,0.0
100082,0.0
100083,0.0
100086,0.0
100100,0.0
100101,0.0
100110,0.0
100112,1.0
100114,0.0
100115,0.0
100116,0.0
100131,0.0
100135,0.0
100137,0.0
100138,0.0
100139,0.0
100143,0.0
100144,0.0
100145,0.0
100148,0.0
100151,0.0
100152,0.0
100153,0.0
100157,0.0
100162,0.0
100165,0.0
100166,0.0
100173,0.0
100176,0.0
100180,0.0
100181,1.0
100188,0.0
100190,0.0
100193,0.0
100197,0.0
100198,0.0
100206,0.0
100211,0.0
100217,0.0
100218,0.0
100220,0.0
100221,0.0
100224,0.0
100226,0.0
100228,0.0
100229,0.0
100231,0.0
100233,0.0
100235,0.0
100239,0.0
100250,0.0
100254,0.0
100258,0.0
100259,0.0
100260,0.0
100266,0.0
100267,0.0
100273,1.0
100274,0.0
100284,0.0
100290,0.0
100293,0.0
100296,0.0
100298,0.0
100299,0.0
100302,0.0
100303,0.0
100307,0.0
100309,0.0
100316,0.0
100317,0.0
100321,0.0
100327,0.0
100329,0.0
100336,1.0
100338,0.0
100339,0.0
100340,0.0
100343,0.0
100345,0.0
100346,0.0
100347,0.0
100350,0.0
100351,0.0
100362,0.0
100364,0.0
100368,0.0
100369,0.0
100371,0.0
100378,0.0
100379,0.0
100387,0.0
100393,0.0
100394,0.0
100395,0.0
100397,0.0
100403,0.0
100406,0.0
100409,0.0
100410,0.0
100414,0.0
100417,0.0
100418,0.0
100429,0.0
100436,0.0
100437,0.0
100441,0.0
100442,0.0
100451,0.0
100452,1.0
100453,0.0
100461,0.0
100464,0.0
100465,0.0
100468,0.0
100478,0.0
100482,0.0
100487,0.0
100491,0.0
100493,0.0
100502,0.0
100504,0.0
100505,0.0
100513,0.0
100514,0.0
100515,0.0
100519,0.0
100523,0.0
100524,0.0
100526,0.0
100528,0.0
100530,0.0
100531,0.0
100532,0.0
100534,0.0
100536,0.0
100537,0.0
100542,0.0
100550,0.0
100554,0.0
100555,0.0
100556,0.0
100563,0.0
100566,0.0
100572,0.0
100577,0.0
100581,0.0
100586,0.0
100587,0.0
100594,0.0
100597,0.0
100601,0.0
100606,0.0
100609,0.0
100611,0.0
100612,0.0
100621,0.0
100623,0.0
100629,0.0
100635,0.0
100638,0.0
100639,0.0
100647,0.0
100651,0.0
100653,0.0
100658,0.0
100662,0.0
100663,0.0
100681,0.0
100684,0.0
100685,0.0
100688,0.0
100695,0.0
100697,0.0
100698,0.0
100704,0.0
100705,0.0
100709,0.0
100712,0.0
100722,0.0
100727,0.0
100728,0.0
100736,0.0
100741,0.0
100743,0.0
100749,0.0
100756,0.0
100759,0.0
100768,0.0
100774,0.0
100786,0.0
100796,1.0
100800,0.0
100802,0.0
100804,0.0
100806,0.0
100813,0.0
100814,0.0
100815,0.0
100816,1.0
100819,0.0
100833,0.0
100834,0.0
100839,1.0
100842,0.0
100846,0.0
100853,0.0
100854,0.0
100859,0.0
100861,0.0
100865,0.0
100870,0.0
100873,0.0
100876,0.0
100877,0.0
100880,0.0
100882,0.0
100893,0.0
100900,0.0
100902,1.0
100906,0.0
100912,0.0
100914,0.0
100917,0.0
100919,0.0
100920,0.0
100923,0.0
100924,0.0
100926,0.0
100929,0.0
100930,0.0
100935,0.0
100938,0.0
100939,0.0
100940,0.0
100941,0.0
100942,0.0
100948,0.0
100957,0.0
100960,0.0
100961,0.0
100963,1.0
100964,0.0
100967,0.0
100968,0.0
100973,0.0
100976,0.0
100985,0.0
100989,0.0
100991,0.0
100993,0.0
101003,0.0
101004,0.0
101006,0.0
101013,0.0
101014,0.0
101018,0.0
101019,0.0
101022,0.0
101023,0.0
101028,0.0
101032,0.0
101034,0.0
101036,0.0
101037,0.0
101043,0.0
101048,0.0
101050,0.0
101054,0.0
101059,0.0
101069,0.0
101072,0.0
101074,0.0
101077,0.0
101081,0.0
101085,0.0
101088,0.0
101089,0.0
101093,1.0
101103,0.0
101104,0.0
101105,0.0
101111,0.0
101116,0.0
101119,0.0
101122,0.0
101127,1.0
101129,0.0
101134,0.0
101137,0.0
101138,0.0
101141,0.0
101147,1.0
101152,0.0
101156,0.0
101168,0.0
101170,0.0
101175,0.0
101177,0.0
101179,0.0
101185,0.0
101187,0.0
101192,0.0
101196,0.0
101202,0.0
101205,0.0
101207,0.0
101210,0.0
101212,0.0
101215,0.0
101216,0.0
101221,0.0
101231,1.0
101232,0.0
101236,0.0
101247,0.0
101249,0.0
101266,0.0
101274,0.0
101284,0.0
101288,0.0
101289,0.0
101295,0.0
101298,0.0
101300,1.0
101302,0.0
101307,0.0
101312,0.0
101313,0.0
101321,0.0
101322,0.0
101323,0.0
101324,0.0
101344,0.0
101352,0.0
101371,0.0
101373,1.0
101379,0.0
101381,0.0
101384,0.0
101385,0.0
101389,0.0
101390,0.0
101394,0.0
101403,0.0
101405,0.0
101406,1.0
101407,0.0
101417,0.0
101423,0.0
101430,0.0
101432,0.0
101433,0.0
101439,0.0
101445,0.0
101447,0.0
101455,0.0
101456,0.0
101461,0.0
101464,0.0
101469,0.0
101470,0.0
101477,0.0
101483,0.0
101485,0.0
101488,0.0
101489,0.0
101490,0.0
101491,0.0
101499,0.0
101500,0.0
101501,0.0
101505,0.0
101520,0.0
101524,0.0
101525,0.0
101526,0.0
101527,0.0
101531,1.0
101532,0.0
101534,0.0
101535,0.0
101536,0.0
101541,1.0
101545,0.0
101546,0.0
101549,0.0
101556,0.0
101557,0.0
101558,0.0
101561,0.0
101563,0.0
101571,0.0
101576,0.0
101577,0.0
101579,0.0
101583,0.0
101587,0.0
101590,0.0
101591,0.0
101596,0.0
101597,0.0
101601,0.0
101605,0.0
101611,0.0
101618,0.0
101620,0.0
101622,0.0
101626,0.0
101628,0.0
101629,0.0
101634,0.0
101635,0.0
101639,0.0
101652,0.0
101653,0.0
101658,0.0
101660,0.0
101668,0.0
101671,0.0
101683,0.0
101687,0.0
101695,0.0
101698,0.0
101699,0.0
101703,0.0
101706,0.0
101716,0.0
